complaint_id,txn_id,user_id,merchant_id,merchant_category,transaction_timestamp,reported_timestamp,bank_response_timestamp,reporting_delay_days,disputed_amount,amount_imputed,reason_category,complaint_text,severity,resolution_status,channel,txn_link_valid
CBK0002082,TXN00004325,USR97580,MCH1127,Telecom,2026-01-28 00:00:00,2026-02-01 00:00:00,2026-02-10 03:19:10,4.0,20243.78,True,Service & Delivery Failure,Customer says amount was debited twice.,Critical,CLOSED,Ivr,True
CBK0001941,TXN00003720,USR54113,MCH3835,Grocery,2026-02-25 10:24:00,2026-03-05 06:24:15,2026-03-12 06:24:00,7.833506944444444,414.69,False,Fraud & Account Takeover,User reports money deducted but merchant denies receiving payment.,High,IN_PROGRESS,Call Center,True
CBK0001799,TXN00012539,USR17980,MCH3700,Transportation,2026-02-04 00:00:00,2026-02-05 00:00:00,2026-03-06 00:00:00,1.0,7039.0,False,Customer General Dispute,merchant service was not delivered after payment.,Low,IN_PROGRESS,Ivr,True
CBK0002465,TXN00017802,USR76148,MCH4534,Miscellaneous Retail,2026-03-30 00:00:00,2026-04-01 00:00:00,2026-04-07 00:00:00,2.0,1303.05,False,Service & Delivery Failure,Suspicious high-value payment disputed by customer. pls check asap,High,REJECTED,Ivr,True
CBK0001870,TXN00015944,USR24660,MCH1686,Transportation,2026-01-09 00:00:00,2026-01-14 21:01:41,2026-01-26 00:00:00,5.876168981481482,1459.42,False,Service & Delivery Failure,Merchant service was not delivered after payment.,Low,IN_PROGRESS,App,True
CBK0002663,TXN00009741,USR40631,MCH9584,Restaurant,2026-02-05 00:00:00,2026-02-06 00:00:00,2026-02-23 00:00:00,1.0,548.0,False,Service & Delivery Failure,Complaint received after multiple failed attempts. urgent,Low,CLOSED,Branch,True
CBK0000782,TXN00015086,USR58789,MCH6008,Transportation,2026-02-05 00:00:00,2026-02-10 00:00:00,2026-03-03 00:00:00,5.0,1949.6,False,Duplicate Debit & Billing,User says UPI PIN was not entered by them.,Medium,IN_PROGRESS,Chatbot,True
CBK0001838,TXN00014426,USR30157,MCH4526,Grocery,2026-03-26 10:17:08,2026-04-06 04:17:08,2026-04-18 00:00:00,10.75,4193.52,False,Service & Delivery Failure,Merchant service was not delivered after payment. details missing,Medium,IN_PROGRESS,Chatbot,True
CBK0001095,TXN00015316,USR86750,MCH5980,Transportation,2026-01-12 00:00:00,2026-01-13 00:00:00,2026-01-14 00:00:00,1.0,930.83,False,Customer General Dispute,Customer complaint text unclear due to poor call center notes.,High,IN_PROGRESS,Branch,True
CBK0002541,TXN00002822,USR11987,MCH3992,Miscellaneous Retail,2026-03-18 10:04:06,2026-03-23 00:00:00,2026-03-30 00:00:00,4.580486111111111,5724.63,True,Fraud & Account Takeover,User claims account was compromised before transaction.,High,IN_PROGRESS,Ivr,True
CBK0001147,TXN00002456,USR89588,MCH2614,Grocery,2026-02-10 03:16:00,2026-02-12 00:00:00,2026-03-12 14:16:00,1.863888888888889,1805.23,False,Duplicate Debit & Billing,customer says amount was debited twice.,Low,IN_PROGRESS,Chatbot,True
CBK0001137,TXN00015627,USR35882,MCH8913,Transportation,2026-01-21 01:07:00,2026-01-21 00:00:00,2026-02-06 08:07:54,-0.04652777777777778,4853.7,False,Customer General Dispute,Customer says amount was debited twice.,Medium,RESOLVED,Chatbot,True
CBK0002213,TXN00009870,USR79046,MCH8457,Grocery,2026-01-02 00:00:00,2026-02-17 00:00:00,,46.0,12334.0,False,Service & Delivery Failure,Merchant service was not delivered after payment.,Medium,IN_PROGRESS,Ivr,True
CBK0000946,TXN00013141,USR22644,MCH9193,Restaurant,2026-01-26 00:00:00,2026-01-31 14:01:41,,5.584502314814815,7638.7,False,Fraud & Account Takeover,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,Critical,IN_PROGRESS,Email,True
CBK0002366,TXN00012165,USR98915,MCH6399,Grocery,2026-02-20 00:00:00,2026-02-20 00:00:00,2026-02-23 21:48:00,0.0,8602.12,True,Fraud & Account Takeover,Customer says transaction was not authorized.,Low,IN_PROGRESS,Call Center,True
CBK0002026,TXN00019737,USR27262,MCH4852,Grocery,2026-01-13 00:00:00,2026-01-23 00:00:00,2026-02-11 19:25:13,10.0,174.11,False,Duplicate Debit & Billing,Merchant service was not delivered after payment.,Medium,RESOLVED,Ivr,True
CBK0001099,TXN00011289,USR94570,MCH4545,Pharmacy,2026-01-30 04:49:00,2026-02-04 00:00:00,2026-02-28 00:00:00,4.799305555555556,305.0,False,Fraud & Account Takeover,Payment made to unknown merchant as per customer statement.,Critical,CLOSED,Ivr,True
CBK0001197,TXN00006253,USR19220,MCH7286,Restaurant,2026-01-08 00:00:00,2026-01-10 00:00:00,2026-01-20 14:43:26,2.0,4952.0,False,Customer General Dispute,Complaint received after multiple failed attempts.,Medium,REJECTED,Chatbot,True
CBK0002347,TXN00010961,USR55439,MCH7581,Transportation,2026-02-13 00:00:00,2026-03-15 00:00:00,,30.0,1126.18,False,Duplicate Debit & Billing,Customer says transaction was not authorized.,Low,REJECTED,Branch,True
CBK0000289,TXN00005764,USR38028,MCH6758,Transportation,2026-03-12 23:03:00,,,,513.84,False,Fraud & Account Takeover,User claims account was compromised before transaction.,Medium,REJECTED,Chatbot,True
CBK0002002,TXN00010298,USR97772,MCH5269,Grocery,2026-01-03 00:00:00,2026-01-08 00:00:00,2026-02-03 23:32:04,5.0,534.44,False,Service & Delivery Failure,Merchant service was not delivered after payment. urgent,Critical,IN_PROGRESS,Chatbot,True
CBK0000512,TXN00014054,USR27947,MCH7667,Restaurant,2026-01-21 00:00:00,2026-01-26 00:00:00,2026-01-30 00:00:00,5.0,4010.97,False,Fraud & Account Takeover,Customer says amount was debited twice.,Low,CLOSED,Chatbot,True
CBK0001155,TXN00010146,USR94690,MCH3957,Hotel & Lodging,2026-02-09 19:16:42,,2026-02-23 06:16:42,,2637.93,False,Fraud & Account Takeover,Payment made to unknown merchant as per customer statement.,Medium,IN_PROGRESS,Ivr,True
CBK0001330,TXN00005940,USR67471,MCH8738,Hotel & Lodging,2026-03-14 00:34:00,2026-03-15 12:34:00,2026-03-27 00:00:00,1.5,1360.01,False,Duplicate Debit & Billing,Suspicious high-value payment disputed by customer.,Medium,IN_PROGRESS,Chatbot,True
CBK0000259,TXN00017504,USR24872,MCH9291,Restaurant,2026-01-22 00:00:00,2026-01-30 09:27:00,2026-02-13 00:00:00,8.39375,12647.35,False,Fraud & Account Takeover,merchant service was not delivered after payment.,Low,IN_PROGRESS,Chatbot,True
