txn_id,timestamp,txn_date,hour_of_day,user_id,merchant_id,merchant_category,effective_mcc,amount,amount_flag,status,utr,utr_flag,customer_fk_valid,merchant_fk_valid
TXN00011869,2026-01-15 00:11:30,2026-01-15,0,USR45826,MCH7045,Grocery,5411,15722.34,VALID_AMOUNT,SUCCESS,UTR6498104698,VALID_UTR,False,False
TXN00010383,2026-01-17 20:09:44,2026-01-17,20,USR79397,MCH5031,Transportation,4131,,PARSE_ERROR,FAILED,UTR7656190355,VALID_UTR,True,False
TXN00008297,2026-01-23 14:10:16,2026-01-23,14,USR87810,MCH9809,Grocery,5411,15446.19,VALID_AMOUNT,SUCCESS,UTR9037001889,VALID_UTR,False,False
TXN00006448,2026-02-02 20:17:51,2026-02-02,20,USR54287,MCH6928,Grocery,5411,12110.49,VALID_AMOUNT,SUCCESS,UTR5257823698,VALID_UTR,False,True
TXN00018792,2026-03-31 14:02:37,2026-03-31,14,USR53865,MCH8121,Transportation,4131,,PARSE_ERROR,SUCCESS,UTR4204272894,VALID_UTR,False,False
TXN00000400,2026-02-11 01:40:43,2026-02-11,1,USR90546,MCH6773,Restaurant,5812,,PARSE_ERROR,SUCCESS,UTR2080442730,VALID_UTR,True,True
TXN00015249,2026-03-10 21:27:31,2026-03-10,21,USR18691,MCH7856,Hotel & Lodging,7011,19982.69,VALID_AMOUNT,SUCCESS,UTR5471158093,VALID_UTR,True,True
TXN00007121,2026-02-25 00:53:02,2026-02-25,0,USR16629,MCH7753,Grocery,5411,,PARSE_ERROR,SUCCESS,UTR3330570580,VALID_UTR,False,False
TXN00008460,2026-02-07 09:53:11,2026-02-07,9,USR20899,MCH9111,Miscellaneous Retail,5999,8256.07,VALID_AMOUNT,SUCCESS,UTR6505850115,VALID_UTR,True,True
TXN00002541,2026-03-30 09:37:49,2026-03-30,9,USR51755,MCH2949,Grocery,5411,16466.93,VALID_AMOUNT,FAILED,UTR2787678319,RESCUED_UTR_SPACES_REMOVED,False,True
TXN00003797,2026-03-14 12:21:17,2026-03-14,12,USR81003,MCH5292,Grocery,5411,13312.0,VALID_AMOUNT,SUCCESS,UTR2464640119,VALID_UTR,False,True
TXN00000092,2026-01-27 23:43:31,2026-01-27,23,USR70687,MCH4523,Grocery,5411,17833.99,VALID_AMOUNT,SUCCESS,UTR5315091377,VALID_UTR,True,False
TXN00004622,2026-03-11 01:40:12,2026-03-11,1,USR37834,MCH5213,Restaurant,5812,,PARSE_ERROR,SUCCESS,UTR1692756805,VALID_UTR,False,True
TXN00001542,2026-02-21 01:33:17,2026-02-21,1,USR78386,MCH4890,Pharmacy,5912,2680.85,VALID_AMOUNT,SUCCESS,UTR3430344329,VALID_UTR,False,False
TXN00002592,2026-02-21 05:47:48,2026-02-21,5,USR21114,MCH9819,Miscellaneous Retail,,,PARSE_ERROR,PENDING,UTR3572682179,VALID_UTR,False,False
TXN00017665,2026-01-21 15:06:13,2026-01-21,15,USR96222,MCH6009,Grocery,5411,16257.95,VALID_AMOUNT,PENDING,UTR4021669116,VALID_UTR,False,True
TXN00002012,2026-03-06 13:48:49,2026-03-06,13,USR13976,MCH8222,Grocery,5411,1575.7,VALID_AMOUNT,SUCCESS,UTR0496925866,VALID_UTR,False,False
TXN00015655,2026-01-09 05:05:51,2026-01-09,5,USR55935,MCH8480,Transportation,4131,18230.29,VALID_AMOUNT,SUCCESS,UTR6094940155,VALID_UTR,False,True
TXN00011091,2026-03-03 19:17:39,2026-03-03,19,USR13890,MCH8216,Transportation,4131,-23820.57,REFUND_OR_REVERSAL_NEGATIVE,SUCCESS,UTR6527062794,VALID_UTR,False,False
TXN00008584,2026-01-17 18:53:31,2026-01-17,18,USR15778,MCH3250,Pharmacy,5912,5546.0,VALID_AMOUNT,SUCCESS,UTR0928079796,VALID_UTR,False,True
TXN00004474,2026-01-17 19:39:58,2026-01-17,19,USR15834,MCH3895,Restaurant,5812,8892.43,VALID_AMOUNT,SUCCESS,UTR4987418462,VALID_UTR,False,True
TXN00013857,2026-01-24 07:35:23,2026-01-24,7,USR33189,MCH4645,Pharmacy,5912,1816.08,VALID_AMOUNT,SUCCESS,UTR8739611115,VALID_UTR,False,False
TXN00012705,2026-01-23 18:56:04,2026-01-23,18,USR48168,MCH4207,Grocery,5411,3530.72,VALID_AMOUNT,SUCCESS,UTR0498515755,RESCUED_UTR_SPACES_REMOVED,True,False
TXN00008884,2026-02-01 23:17:20,2026-02-01,23,USR99474,MCH1206,Grocery,5411,7998.11,VALID_AMOUNT,SUCCESS,UTR6778164754,VALID_UTR,False,False
TXN00007528,2026-01-30 18:33:12,2026-01-30,18,USR86253,MCH1683,Grocery,5411,13694.93,VALID_AMOUNT,SUCCESS,UTR6390761420,RESCUED_UTR_SPACES_REMOVED,True,True
TXN00011321,2026-02-25 08:44:40,2026-02-25,8,USR85411,MCH6621,Hotel & Lodging,7011,15076.69,VALID_AMOUNT,SUCCESS,UTR9700714037,VALID_UTR,False,False
